;Agrupacion;;;;;;;;;;;;;;
Id Circuito;APTITUD RENOVADORA;AUTODETERMINACIÓN Y LIBERTAD;AUTONOMISTA;DIGNIDAD POPULAR;FEDERAL;FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;FRENTE DE TODOS;JUNTOS POR EL CAMBIO;LA LIBERTAD AVANZA;MOVIMIENTO AL SOCIALISMO;MOVIMIENTO LIBRES DEL SUR;POLÍTICA OBRERA;RENOVADOR FEDERAL;SOCIALISTA AUTÉNTICO;Total general
93;0,002893125;0,028931246;0,002637849;0,001531654;0,007062628;0,069775357;0,32615725;0,391933288;0,146272975;0,003999319;0,005701157;0,00493533;0,000850919;0,007317903;1
94;0,002244109;0,031043511;0,0013714;0,000997382;0,004425882;0,076985413;0,325645181;0,397332003;0,139010098;0,002618127;0,004612891;0,006482982;0,0006857;0,006545319;1
95;0,002101004;0,02669053;0,001945374;0,001011594;0,007509143;0,059839701;0,307369076;0,425219827;0,146681192;0,003774025;0,004124193;0,005680492;0,00077815;0,007275698;1
96;0,002795726;0,027833002;0,001428926;0,001863817;0,008014414;0,072129722;0,317718688;0,395812624;0,150285785;0,003230616;0,003851889;0,005467197;0,00111829;0,008449304;1
97;0,003608247;0,022744845;0,002384021;0,00128866;0,006636598;0,057474227;0,352061856;0,384858247;0,147744845;0,003092784;0,004252577;0,004896907;0,000773196;0,00818299;1
98;0,003007808;0,024894407;0,002303853;0,001823883;0,007007552;0,053116601;0,282669909;0,454978881;0,148982465;0,003391783;0,004863689;0,004639703;0,000991937;0,007327531;1
99;0,002368373;0,023987369;0,001821825;0,001336005;0,007165847;0,054351126;0,254994838;0,487581223;0,143863485;0,004311654;0,004615291;0,005829842;0,001032368;0,006740754;1
100;0,002038896;0,028126307;0,001882058;0,001045588;0,008992054;0,049979088;0,256273526;0,485466332;0,149309912;0,002195734;0,003136763;0,003920954;0,000679632;0,006953158;1
101;0,002361031;0,028373788;0,002361031;0,001118383;0,007248778;0,060434098;0,263648414;0,469223759;0,143318698;0,003230884;0,004349267;0,004846326;0,000579902;0,008905642;1
102;0,00180415;0,032174;0,002355417;0,00085196;0,005813371;0,057081287;0,233587251;0,488724065;0,1579132;0,002656109;0,00466072;0,004259798;0,000501153;0,00761752;1
103;0,002583109;0,032513477;0,002695418;0,001403863;0,006570081;0,057446092;0,241239892;0,46720575;0,167003594;0,003425427;0,004548518;0,003930818;0,000954627;0,008479335;1
104;0,002373919;0,03112471;0,002426672;0,001477105;0,00506436;0,064306816;0,272209327;0,442340156;0,157997468;0,003165225;0,004695083;0,004536822;0,001213336;0,007069002;1
105;0,002160618;0,032958582;0,002416963;0,000915516;0,005566338;0,065514337;0,24971619;0,475702201;0,146555828;0,002600066;0,003259238;0,004687443;0,000695792;0,007250888;1
106;0,002535466;0,031934802;0,001931784;0,001448838;0,004889828;0,066042861;0,260368246;0,447449442;0,163054633;0,003259885;0,004708723;0,003984304;0,000724419;0,007666767;1
107;0,001858127;0,031588152;0,002331767;0,001238751;0,005501512;0,069406493;0,267679528;0,456771232;0,146172624;0,00255037;0,003534084;0,003133311;0,000728677;0,007505374;1
108;0,00273224;0,034836066;0,00204918;0,00136612;0,005862933;0,068306011;0,277663934;0,441541439;0,144410291;0,002276867;0,004382969;0,006318306;0,000796903;0,00745674;1
109;0,00239521;0,033083832;0,002170659;0,00130988;0,005164671;0,072492515;0,26511976;0,447342814;0,147492515;0,003106287;0,005875749;0,004640719;0,000486527;0,009318862;1
110;0,002329725;0,029669727;0,002398246;0,001370426;0,004659449;0,072221461;0,299849253;0,434836234;0,133479512;0,002877895;0,003837193;0,003768672;0,000411128;0,008291079;1
111;0,002274795;0,031587157;0,004029637;0,001104901;0,00766931;0,062459379;0,265306122;0,458013779;0,147991681;0,002339789;0,005719485;0,003119719;0,000389965;0,007994281;1
112;0,007626392;0,032219366;0,001885176;0,001456727;0,005998286;0,070179949;0,273693231;0,436418166;0,150214225;0,003256213;0,005998286;0,004113111;0,000685518;0,006255356;1
113;0,002229109;0,034089056;0,002446583;0,000978633;0,006089273;0,063991736;0,264774643;0,445223726;0,156853151;0,003153374;0,005273745;0,004784429;0,000761159;0,009351384;1
114;0,002504592;0,034229421;0,001669728;0,001127066;0,005384872;0,068375355;0,271205543;0,457964602;0,138211721;0,002796794;0,00313074;0,005134413;0,000709634;0,007555518;1
115;0,002148789;0,036529415;0,002671468;0,000929206;0,007085197;0,076194901;0,285382426;0,440211394;0,127823915;0,003194146;0,004646031;0,004646031;0,001277658;0,007259423;1
116;0,002789515;0,03929934;0,001640891;0,000738401;0,005496985;0,072158182;0,286786725;0,430815933;0,139393691;0,002625426;0,004307339;0,005784141;0,000410223;0,00775321;1
117;0,001645906;0,038828414;0,002132196;0,00134665;0,004376613;0,069352486;0,254591703;0,473534583;0,134403172;0,00220701;0,003890323;0,00441402;0,000523697;0,008753226;1
118;0,002014002;0,035436847;0,002061955;0,001246763;0,006137911;0,058933538;0,227390429;0,51735878;0,131917138;0,002349669;0,004219814;0,003692337;0,000383619;0,006857198;1
119;0,001558907;0,033945204;0,002065552;0,000818426;0,005456175;0,06383725;0,227795315;0,506060252;0,140184731;0,002572197;0,005222339;0,003663432;0,000506645;0,006313574;1
120;0,002225952;0,031199825;0,001459641;0,001021749;0,005145234;0,053605313;0,212158809;0,521675668;0,1540651;0,002444899;0,003503138;0,003028755;0,00036491;0,008101007;1
121;0,002471424;0,029436427;0,001897701;0,00136811;0,005737235;0,049869809;0,226002913;0,50350854;0,159715786;0,002824485;0,003707136;0,00445739;0,000706121;0,008296924;1
122;0,001752035;0,024116253;0,002112749;0,000721426;0,003916315;0,040915181;0,162630114;0,592033392;0,157734721;0,001855096;0,00340101;0,002524992;0,000463774;0,005822941;1
123;0,002671284;0,031016572;0,002028197;0,000989364;0,005985654;0,05575068;0,213950037;0,517635419;0,151125402;0,002325006;0,00445214;0,003759584;0,000148405;0,008162256;1
124;0,00299414;0,028914838;0,003208007;0,000898242;0,006929296;0,067368151;0,279096625;0,457076864;0,133239232;0,002694726;0,003892382;0,003892382;0,000941015;0,0088541;1
125;0,002334555;0,030738303;0,002140008;0,000680912;0,005576992;0,063227522;0,239907915;0,491521027;0,144029052;0,001977887;0,004150319;0,004150319;0,000291819;0,00927337;1
126;0,002831305;0,031947262;0,001098715;0,001267748;0,004859703;0,066472279;0,238040906;0,490703178;0,142325896;0,00270453;0,004521636;0,005240027;0,000591616;0,007395199;1
127;0,001705821;0,028460272;0,001406554;0,000658387;0,004668562;0,054676044;0,186802334;0,566990872;0,138021846;0,001645967;0,005027682;0,003262008;0,000508754;0,006164896;1
128;0,001960272;0,028195243;0,001927601;0,000849451;0,005260063;0,066975954;0,228404339;0,508788552;0,136206221;0,003593832;0,004181913;0,004769995;0,000686095;0,00820047;1
129;0,001906266;0,029220337;0,001225457;0,000980365;0,00492906;0,066583154;0,221780453;0,526292857;0,130524768;0,001933499;0,003431279;0,003512976;0,000517415;0,007162114;1
130;0,001918005;0,030887877;0,003116759;0,000799169;0,004715096;0,069128107;0,221889235;0,521337809;0,126868057;0,001997922;0,00435547;0,00411572;0,000279709;0,008591065;1
131;0,00231107;0,029466143;0,002426624;0,000346661;0,006355443;0,062861105;0,232031431;0,502657731;0,141321932;0,003351052;0,004506587;0,004506587;0,000346661;0,007510978;1
132;0,001933352;0,026539651;0,002320022;0,000703037;0,005940664;0,064749719;0,254710349;0,476940382;0,144474128;0,004042463;0,00530793;0,003866704;0,000738189;0,007733408;1
133;0,00151047;0,024201854;0,003776176;0,000720906;0,004119464;0,060762101;0,220082389;0,524682458;0,139787161;0,003020941;0,003673189;0,004050807;0,000480604;0,00913148;1
134;0,001071635;0,025389498;0,001813536;0,000824334;0,003297337;0,050861429;0,172038579;0,588574726;0,14013684;0,001978402;0,003627071;0,001895969;0,0002473;0,008243344;1
135;0,001052632;0,019279778;0,001606648;0,000277008;0,003434903;0,052742382;0,169252078;0,598116343;0,139113573;0,00199446;0,00265928;0,003047091;0,000221607;0,007202216;1
136;0,001862928;0,02887538;0,001813903;0,000735366;0,004804393;0,059368566;0,191391313;0,565986861;0,126973233;0,002990489;0,003970978;0,002745367;0,000588293;0,007892931;1
137;0,001469768;0,024225838;0,001267042;0,000354772;0,00486544;0,065176626;0,199787137;0,552582231;0,132279155;0,001723177;0,00425726;0,0030409;0,000405453;0,008565202;1
138;0,00111091;0,02033224;0,001524272;0,000749218;0,002867698;0,054408763;0,157103366;0,62293642;0,124421939;0,002195985;0,003100214;0,002583512;0,000413362;0,006252099;1
139;0,001155545;0,022285502;0,001361892;0,000825389;0,0044571;0,053939169;0,146877966;0,625809913;0,129586067;0,001320622;0,002847592;0,003053939;0,000536503;0,005942801;1
140;0,001486743;0,022714132;0,001651937;0,001156356;0,002973486;0,057817791;0,177418023;0,586272404;0,133311308;0,002064921;0,00289089;0,002064921;0,000247791;0,007929297;1
141;0,000970309;0,020133903;0,00169804;0,000679216;0,004414904;0,045167863;0,149864157;0,620803415;0,142004657;0,001309917;0,003153503;0,001940617;0,000388123;0,007471376;1
